Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2020;2781;Blauen;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2781;Blauen;Lastenabgeltung_Bildung_Weite_CHF;77395.0
2020;2781;Blauen;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2781;Blauen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;74455.0
2020;2781;Blauen;Lastenabgeltung_Total_CHF;151850.0
2020;2781;Blauen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2781;Blauen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2781;Blauen;Solidaritätsbeitrag_Finanzierung_CHF;6960.0
2020;2781;Blauen;Kompensation_vergangene_Aufgabenverschiebung_CHF;18123.0
2020;2781;Blauen;Kompensationsleistung_Sechste_Primar_CHF;82522.0
2020;2781;Blauen;Kompensationsleistung_Ergänzungsleistungen_CHF;37852.0
2020;2781;Blauen;Gemeindeanteil_Ergänzungsleistungen_CHF;113225.0
2020;2781;Blauen;Gemeindeanteil_Spitalbeschulung_CHF;304.0
2020;2781;Blauen;Gemeindeanteil_Schulleiterkonferenz_CHF;33.0
2020;2781;Blauen;Nettobelastung_CHF;0.0
2020;2781;Blauen;Nettogutschrift_CHF;38269.0
2020;2781;Blauen;Mittlere_Wohnbevölkerung_Vorjahr;696.0
2020;2781;Blauen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;2167104.53
2020;2781;Blauen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;6972.25
2020;2781;Blauen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;9942.7
2020;2781;Blauen;Steuerkraft_Total_CHF;2003249.58038025
2020;2781;Blauen;Steuerkraft_pro_Einwohner_CHF;2878.23215571876
2020;2781;Blauen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;0.0
2020;2781;Blauen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;0.0
2020;2782;Brislach;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2782;Brislach;Ressourcenausgleich_Empfängergemeinden_CHF;1699276.0
2020;2782;Brislach;Lastenabgeltung_Bildung_Schülerzahl_CHF;0.0
2020;2782;Brislach;Lastenabgeltung_Bildung_Weite_CHF;108042.0
2020;2782;Brislach;Lastenabgeltung_Sozialhilfe_CHF;0.0
2020;2782;Brislach;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;70038.0
2020;2782;Brislach;Lastenabgeltung_Total_CHF;178080.0
2020;2782;Brislach;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2782;Brislach;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2782;Brislach;Solidaritätsbeitrag_Finanzierung_CHF;16480.0
2020;2782;Brislach;Kompensation_vergangene_Aufgabenverschiebung_CHF;42911.0
2020;2782;Brislach;Kompensationsleistung_Sechste_Primar_CHF;209480.0
2020;2782;Brislach;Kompensationsleistung_Ergänzungsleistungen_CHF;52962.0
2020;2782;Brislach;Gemeindeanteil_Ergänzungsleistungen_CHF;268097.0
2020;2782;Brislach;Gemeindeanteil_Spitalbeschulung_CHF;720.0
